                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.79916,                 9.0596,                0.66674,                 0.5337,                0.91177,                0.99825,                      1,                  0.995,                0.77488,                      0,                      0,                      0,                      0,                0.79787,                 10.506,                0.64785,                0.57656,                 0.9069,             0.00086865,             0.00086865,             0.00086865
                     25,                0.72999,                 8.6883,                0.66204,                0.51876,                 0.8917,                0.99843,                      1,                  0.995,                 0.7637,                      0,                      0,                      0,                      0,                0.79518,                 10.525,                0.64226,                0.59214,                0.91445,             0.00090238,             0.00090238,             0.00090238
                     26,                0.71443,                 8.5661,                0.66166,                0.51304,                0.88363,                0.99806,                      1,                  0.995,                0.75753,                      0,                      0,                      0,                      0,                0.82358,                 10.193,                0.64255,                0.60734,                0.91141,             0.00093585,             0.00093585,             0.00093585
                     27,                0.73274,                 8.4649,                0.64518,                0.52442,                0.88357,                0.99745,                      1,                  0.995,                0.78185,                      0,                      0,                      0,                      0,                0.78814,                 10.162,                0.63672,                0.63748,                0.90942,             0.00096905,             0.00096905,             0.00096905
                     28,                0.76367,                 8.2229,                0.63245,                0.54608,                0.89809,                0.99702,                      1,                  0.995,                0.81534,                      0,                      0,                      0,                      0,                0.80085,                 9.6545,                0.63417,                0.61914,                0.90557,               0.001002,               0.001002,               0.001002
                     29,                0.77458,                 8.1732,                0.64091,                  0.551,                0.90964,                0.99798,                      1,                  0.995,                0.81039,                      0,                      0,                      0,                      0,                0.78981,                 9.4006,                0.63288,                0.52571,                0.89855,              0.0010347,              0.0010347,              0.0010347
                     30,                0.74122,                  8.158,                0.63107,                0.52915,                0.88518,                0.99822,                      1,                  0.995,                0.79639,                      0,                      0,                      0,                      0,                 0.8169,                 9.3239,                0.63318,                0.60086,                0.89332,              0.0010671,              0.0010671,              0.0010671
                     31,                0.73145,                 7.9611,                0.63749,                0.53568,                 0.8756,                  0.999,                      1,                  0.995,                0.79192,                      0,                      0,                      0,                      0,                0.74602,                 8.8616,                0.63006,                0.54822,                0.86667,              0.0010992,              0.0010992,              0.0010992
                     32,                0.75641,                 7.7214,                0.62843,                0.52003,                0.89407,                0.97406,                      1,                0.98656,                0.76236,                0.11483,                0.09091,                0.02188,                0.00619,                0.76924,                 8.2632,                0.62647,                0.73506,                0.88767,              0.0011311,              0.0011311,              0.0011311
                     33,                0.73111,                 7.7182,                0.63118,                0.53216,                0.87744,                 0.9978,                      1,                  0.995,                0.79022,                 0.0806,                0.04545,                0.00841,                0.00194,                0.79894,                 8.3568,                0.62403,                0.60045,                0.88976,              0.0011627,              0.0011627,              0.0011627
